Month,Ticker,MarketCap
2024-03,ADANIENT,3028683849728
2024-03,ADANIPORTS,3123131973632
2024-03,APOLLOHOSP,1080112840704
2024-03,ASIANPAINT,2352563617792
2024-03,AXISBANK,3657693396992
2024-03,BAJAJ-AUTO,2354005147648
2024-03,BAJFINANCE,5652244070400
2024-03,BAJAJFINSV,3167331024896
2024-03,BPCL,1449496150016
2024-03,BHARTIARTL,12192347848704
2024-03,BRITANNIA,1414156255232
2024-03,CIPLA,1216996573184
2024-03,COALINDIA,2392371757056
2024-03,DIVISLAB,1838638301184
2024-03,DRREDDY,1063669334016
2024-03,EICHERMOT,1574206439424
2024-03,GRASIM,1923303735296
2024-03,HCLTECH,4666910310400
2024-03,HDFCBANK,15332732305408
2024-03,HDFCLIFE,1693161750528
2024-03,HEROMOTOCO,857668583424
2024-03,HINDALCO,1580606554112
2024-03,HINDUNILVR,5430626484224
2024-03,ICICIBANK,10285787119616
2024-03,ITC,5170979143680
2024-03,INDUSINDBK,671663128576
2024-03,INFY,6742053224448
2024-03,JSWSTEEL,2581295529984
2024-03,KOTAKBANK,4247299555328
2024-03,LTIM,1580337725440
2024-03,LT,4975213150208
2024-03,M&M,3848085438464
2024-03,MARUTI,4008638414848
2024-03,NTPC,3230445338624
2024-03,NESTLEIND,2311855800320
2024-03,ONGC,3084186288128
2024-03,POWERGRID,2739483443200
2024-03,RELIANCE,20616763670528
2024-03,SBILIFE,1843201835008
2024-03,SHRIRAMFIN,1275920252928
2024-03,SBIN,7241882664960
2024-03,SUNPHARMA,4053188476928
2024-03,TCS,12381104111616
2024-03,TATACONSUM,1090268626944
2024-03,TATAMOTORS,2545177329664
2024-03,TATASTEEL,2082166931456
2024-03,TECHM,1494411378688
2024-03,TITAN,3291735130112
2024-03,ULTRACEMCO,3690086531072
2024-03,WIPRO,2825437577216
2024-04,ADANIENT,3030530392064
2024-04,ADANIPORTS,3126156853248
2024-04,APOLLOHOSP,1080472305664
2024-04,ASIANPAINT,2353234706432
2024-04,AXISBANK,3658623746048
2024-04,BAJAJ-AUTO,2353027874816
2024-04,BAJFINANCE,5656592515072
2024-04,BAJAJFINSV,3169404583936
2024-04,BPCL,1450363846656
2024-04,BHARTIARTL,12195346776064
2024-04,BRITANNIA,1415119896576
2024-04,CIPLA,1217077313536
2024-04,COALINDIA,2394220658688
2024-04,DIVISLAB,1841027481600
2024-04,DRREDDY,1063669334016
2024-04,EICHERMOT,1575303512064
2024-04,GRASIM,1923303735296
2024-04,HCLTECH,4667451899904
2024-04,HDFCBANK,15334266372096
2024-04,HDFCLIFE,1693161750528
2024-04,HEROMOTOCO,857668583424
2024-04,HINDALCO,1582619557888
2024-04,HINDUNILVR,5428040695808
2024-04,ICICIBANK,10286500151296
2024-04,ITC,5170353143808
2024-04,INDUSINDBK,671663128576
2024-04,INFY,6742882648064
2024-04,JSWSTEEL,2581783904256
2024-04,KOTAKBANK,4249089212416
2024-04,LTIM,1579744755712
2024-04,LT,4976037855232
2024-04,M&M,3847725514752
2024-04,MARUTI,4008638414848
2024-04,NTPC,3230930567168
2024-04,NESTLEIND,2311759069184
2024-04,ONGC,3089721720832
2024-04,POWERGRID,2742274490368
2024-04,RELIANCE,20620823756800
2024-04,SBILIFE,1843201835008
2024-04,SHRIRAMFIN,1276766584832
2024-04,SBIN,7240989802496
2024-04,SUNPHARMA,4054627909632
2024-04,TCS,12373867888640
2024-04,TATACONSUM,1090070642688
2024-04,TATAMOTORS,2545361616896
2024-04,TATASTEEL,2081668202496
2024-04,TECHM,1494234300416
2024-04,TITAN,3290316144640
2024-04,ULTRACEMCO,3690380918784
2024-04,WIPRO,2824913813504
2024-05,ADANIENT,3031453663232
2024-05,ADANIPORTS,3125076557824
2024-05,APOLLOHOSP,1080472305664
2024-05,ASIANPAINT,2355343917056
2024-05,AXISBANK,3659554357248
2024-05,BAJAJ-AUTO,2353586241536
2024-05,BAJFINANCE,5652554973184
2024-05,BAJAJFINSV,3169404583936
2024-05,BPCL,1450363846656
2024-05,BHARTIARTL,12192347848704
2024-05,BRITANNIA,1414878986240
2024-05,CIPLA,1217319665664
2024-05,COALINDIA,2393912639488
2024-05,DIVISLAB,1840496508928
2024-05,DRREDDY,1063502938112
2024-05,EICHERMOT,1575303512064
2024-05,GRASIM,1924117823488
2024-05,HCLTECH,4666097664000
2024-05,HDFCBANK,15336565899264
2024-05,HDFCLIFE,1693269491712
2024-05,HEROMOTOCO,857668583424
2024-05,HINDALCO,1580941967360
2024-05,HINDUNILVR,5429215625216
2024-05,ICICIBANK,10286500151296
2024-05,ITC,5170979143680
2024-05,INDUSINDBK,671702122496
2024-05,INFY,6742467936256
2024-05,JSWSTEEL,2581783904256
2024-05,KOTAKBANK,4248890245120
2024-05,LTIM,1579892998144
2024-05,LT,4974662647808
2024-05,M&M,3847485652992
2024-05,MARUTI,4007066337280
2024-05,NTPC,3230445338624
2024-05,NESTLEIND,2312530558976
2024-05,ONGC,3084563775488
2024-05,POWERGRID,2742274490368
2024-05,RELIANCE,20639767330816
2024-05,SBILIFE,1843402637312
2024-05,SHRIRAMFIN,1277612785664
2024-05,SBIN,7242775003136
2024-05,SUNPHARMA,4054867771392
2024-05,TCS,12374591406080
2024-05,TATACONSUM,1090169602048
2024-05,TATAMOTORS,2545729667072
2024-05,TATASTEEL,2082416492544
2024-05,TECHM,1494057222144
2024-05,TITAN,3289783730176
2024-05,ULTRACEMCO,3689792405504
2024-05,WIPRO,2825437577216
2024-06,ADANIENT,3031799955456
2024-06,ADANIPORTS,3125292564480
2024-06,APOLLOHOSP,1080544198656
2024-06,ASIANPAINT,2354672828416
2024-06,AXISBANK,3658933862400
2024-06,BAJAJ-AUTO,2353446780928
2024-06,BAJFINANCE,5652244070400
2024-06,BAJAJFINSV,3169563967488
2024-06,BPCL,1449929998336
2024-06,BHARTIARTL,12194746990592
2024-06,BRITANNIA,1414758531072
2024-06,CIPLA,1216754089984
2024-06,COALINDIA,2393912639488
2024-06,DIVISLAB,1840363732992
2024-06,DRREDDY,1064418344960
2024-06,EICHERMOT,1574617874432
2024-06,GRASIM,1923914268672
2024-06,HCLTECH,4666097664000
2024-06,HDFCBANK,15335799390208
2024-06,HDFCLIFE,1692946399232
2024-06,HEROMOTOCO,857088589824
2024-06,HINDALCO,1581836795904
2024-06,HINDUNILVR,5430860840960
2024-06,ICICIBANK,10285074087936
2024-06,ITC,5170979143680
2024-06,INDUSINDBK,671156731904
2024-06,INFY,6742467936256
2024-06,JSWSTEEL,2582027960320
2024-06,KOTAKBANK,4248890245120
2024-06,LTIM,1580189483008
2024-06,LT,4975487877120
2024-06,M&M,3847245791232
2024-06,MARUTI,4005808832512
2024-06,NTPC,3230445338624
2024-06,NESTLEIND,2312819965952
2024-06,ONGC,3085318488064
2024-06,POWERGRID,2742739533824
2024-06,RELIANCE,20642474754048
2024-06,SBILIFE,1842800492544
2024-06,SHRIRAMFIN,1277800873984
2024-06,SBIN,7242775003136
2024-06,SUNPHARMA,4053908062208
2024-06,TCS,12376038440960
2024-06,TATACONSUM,1089872789504
2024-06,TATAMOTORS,2545729667072
2024-06,TATASTEEL,2082291843072
2024-06,TECHM,1494057222144
2024-06,TITAN,3289783730176
2024-06,ULTRACEMCO,3692733923328
2024-06,WIPRO,2824913813504
2024-07,ADANIENT,3031453663232
2024-07,ADANIPORTS,3125508571136
2024-07,APOLLOHOSP,1081622593536
2024-07,ASIANPAINT,2354768773120
2024-07,AXISBANK,3658003513344
2024-07,BAJAJ-AUTO,2351771156480
2024-07,BAJFINANCE,5654107914240
2024-07,BAJAJFINSV,3169404583936
