Heading,Source,Date,Symbol
"BPCL, HPCL, IOC down for 3rd straight day; slip upto 25% from 52-week highs",Business Standard,19 Mar 2024,BPCL
BPCL secures 5th spot in Business World Real 500: Leading the Change,PSU Watch,20 Mar 2024,BPCL
"Buy or Sell? Here's what brokerages say on IOCL, BPCL and HPCL shares",The Economic Times,21 Mar 2024,BPCL
BPCL to launch CBG plants in Chhattisgarh with ₹200 crore investment,ET EnergyWorld,14 Mar 2024,BPCL
"Petrol, diesel price cut to marginally hurt marketing earnings of OMCs; JM Financial maintains ‘Sell’ on IOC, HPCL",Mint,15 Mar 2024,BPCL
"PM lays foundation stone and dedicated BPCL's projects worth Rs 9,800 crore to to the nation",Indian Chemical News,3 Mar 2024,BPCL
"BPCL, HPCL, Oil India bag license for building gas infra in J&K, Northeast",Moneycontrol,4 Mar 2024,BPCL
Indian Institute of Corporate Affairs Hosts Webinar on ‘Viksit Bharat: Corporate Governance for 2047’,PIB,8 Mar 2024,BPCL
GPPL Celebrates 25 Years of Successful LPG Handling at the port,APM Terminals,7 Mar 2024,BPCL
BPCL Secures 5th Spot in Business World Real 500: Leading the Change,Business Standard,20 Mar 2024,BPCL
