Heading,Source,Date,Symbol
"IndusInd Bank Share Price Highlights: Stock gained 1.19% during today's trading session; Check price range, day's high and low",Business Today,28 Mar 2024,INDUSINDBK
Sumeet Bagadia lists IndusInd Bank as the top 'Maha Shivratri Pick'; here's why,Mint,8 Mar 2024,INDUSINDBK
Banks set to gain as bond yields soften 14 basis points in a quarter,Business Standard,28 Mar 2024,INDUSINDBK
CSR: MoU signed with Tamil Nadu Government to expand ‘Bharat Sanjeevani’ initiative,The CSR Journal,11 Mar 2024,INDUSINDBK
Cash-rich NBFCs lure banking professionals for CXO roles amid rapid growth,The Economic Times,22 Mar 2024,INDUSINDBK
IndusInd Bank launches India’s first contactless payment wearable ‘Indus PayWear’,Moneycontrol,11 Mar 2024,INDUSINDBK
"Startup news and updates: Daily roundup (March 11, 2024)",YourStory.com,11 Mar 2024,INDUSINDBK
IndusInd Bank launches India’s first all-in-one payment wearables,CNBC TV18,11 Mar 2024,INDUSINDBK
"IndusInd Bank shares rose 52% from 52-week low, price target of Rs 2,000 on cards?",Business Today,27 Mar 2024,INDUSINDBK
Brokerages list 3 private banks including IndusInd to buy for potential upside of up to 47%; check list,Mint,15 Mar 2024,INDUSINDBK
