Heading,Source,Date,Symbol
"NTPC shares doubled investor wealth in a year: Price targets, technicals, valuation and more",Business Today,9 Mar 2024,NTPC
NTPC records highest-ever power generation of 422 bn units in FY24,Business Standard,31 Mar 2024,NTPC
NTPC signs pact with Japanese agency for USD 200 million loan,The Economic Times,26 Mar 2024,NTPC
"Lok Sabha election 2024: BEL, NTPC, NHPC to M&M — experts recommend these 11 stocks to buy for long-term",Mint,24 Mar 2024,NTPC
NTPC mulls offering power from TSTPP phase II to other states as Telangana delays purchase agreement,The Hindu,22 Mar 2024,NTPC
NTPC bolsters power capacity with new 800 MW Unit in Telangana,ET EnergyWorld,1 Mar 2024,NTPC
"BHEL bags 1,600 MW thermal project order from NTPC",Moneycontrol,19 Mar 2024,NTPC
NTPC crosses 400 billion units power generation mark in FY24,Financial Express,14 Mar 2024,NTPC
UP Cabinet meeting: Two more 800MW power plants to come up in UP,Hindustan Times,5 Mar 2024,NTPC
NTPC adds nearly 4GW capacity in FY24; total installed capacity at 76GW,Business Standard,1 Apr 2024,NTPC
