Heading,Source,Date,Symbol
"Maruti Suzuki India Share Price Today Updates: Maruti Suzuki India Closes Slightly Higher at Rs 12,695, ...",The Economic Times,13 May 2024,MARUTI
Maruti Suzuki India likely to set up at least 400 service outlets in FY25,Business Standard,28 May 2024,MARUTI
Maruti Suzuki stock falls 2% as April sales disappoint Street,Moneycontrol,2 May 2024,MARUTI
"Suzuki Motor eyes record year, India to drive global sales",Autocar Professional,13 May 2024,MARUTI
"CIL, Axis, Maruti, HDFC Bank: Nifty cos with highest FY25 EPS upgrades post Q4 results",Business Today,7 May 2024,MARUTI
Maruti Suzuki India's next-gen hatchback models aim to outpace industry growth; check details,Upstox,2 May 2024,MARUTI
"Maruti Suzuki India Share Price Today Updates: Maruti Suzuki India Closes Marginally Higher at Rs 12,522...",The Economic Times,22 May 2024,MARUTI
"Maruti Suzuki cuts prices of auto gear shift models by ₹5,000 from today",Mint,1 Jun 2024,MARUTI
"Maruti Suzuki expands service network to 5,000 touchpoints since 1983",HT Auto,28 May 2024,MARUTI
Maruti Suzuki India plans to sell 2 million vehicles this fiscal year,Business Standard,1 May 2024,MARUTI
