Heading,Source,Date,Symbol
Tata Stock News: 775% Dividend per share; record date fixed,ET Now,20 May 2024,TATACONSUM
"Buy Tata Consumer Products, target price Rs 1350: Motilal Oswal",The Economic Times,17 May 2024,TATACONSUM
"India is a 'bright spot', will lead the next decade: N Chandrasekaran",Business Standard,23 May 2024,TATACONSUM
Tata Consumer restructures overseas operations,Times of India,24 May 2024,TATACONSUM
Tata Consumer to target food services industry,Mint,22 May 2024,TATACONSUM
"1:10 Split: Tata Group FMCG Giant Likely To Rally, Buy Recommended For TP Rs 1350",Goodreturns,30 May 2024,TATACONSUM
"Tata Consumer bets on D2C, nutrition in FY25",Financial Express,28 May 2024,TATACONSUM
"India emerging as a bright spot, poised to lead next decade: N Chandrasekaran",YourStory.com,24 May 2024,TATACONSUM
"Share Market Highlights 14 May 2024: Sensex gains 328 pts, Nifty closes above 22,200",BusinessLine,14 May 2024,TATACONSUM
"Tata Stock Dividend News 2024: Rs 7.75 per share; Ex-date, record date today",ET Now,24 May 2024,TATACONSUM
