Heading,Source,Date,Symbol
"ITC stock extends rally into 5th day, hits 5-month high; up 7% in 1 week",Business Standard,9 Jul 2024,ITC
"ITC Q1 results: Net profit rises marginally to Rs 4,917 crore, misses estimates",Moneycontrol,1 Aug 2024,ITC
"ITC announces Rs 20,000 crore investment across businesses",The Economic Times,26 Jul 2024,ITC
"ITC Q1 Results Today: Cigarette volumes likely to drive 5.5% revenue growth, net profit may rise 4% YoY",Mint,1 Aug 2024,ITC
"ITC to invest ₹20,000 crore in medium term: CMD Sanjiv Puri",CNBC TV18,26 Jul 2024,ITC
"Suzlon Energy, ITC, Tata Power, RVNL, IRCON, RITES, PFC: Stocks to watch this Budget",Business Today,16 Jul 2024,ITC
"1:10 Stock Split: FMCG ITC Share Hits New All-Time High, Biggest Winner Of Budget; Jefferies Upgrade To Buy",Goodreturns,25 Jul 2024,ITC
"Infosys, ITC, Coal India, GSFC, ONGC among top dividend-paying companies to watch ahead of Budget 2024",Financial Express,17 Jul 2024,ITC
ITC Limited's (NSE:ITC) CEO Looks Due For A Compensation Raise,Simply Wall Street,20 Jul 2024,ITC
"ITC Q1 Preview: Weakness in agri, paperboard sectors may dent Ebitda margin",Business Standard,31 Jul 2024,ITC
