Heading,Source,Date,Symbol
Tata Motors Consolidated Q1 FY25 Results,Tata Motors,1 Aug 2024,TATAMOTORS
"Tata Motors Q1 results: Net profit zooms 74% on-year to Rs 5,566 crore, beats estimates",Moneycontrol,1 Aug 2024,TATAMOTORS
"Tata Motors Q1 Results Live Updates: PAT surges 74% YoY to Rs 5,566 crore, beats estimates",The Economic Times,1 Aug 2024,TATAMOTORS
"Tata Motors jumps to all-time high after Nomura upgrade and highest-ever price target of Rs 1,294",Financial Express,25 Jul 2024,TATAMOTORS
"Tata Motors advances demerger scheme, unveils new corporate structure",Business Standard,1 Aug 2024,TATAMOTORS
"Tata Motors board approves demerger into two listed companies, scheme to conclude within 15 months",Mint,1 Aug 2024,TATAMOTORS
"Tata Motors Q1 results: Net profit may rise 8-12%, margin expansion likely",Business Today,1 Aug 2024,TATAMOTORS
Tata Motors hits record high after Nomura upgrades rating to 'Buy',India Today,25 Jul 2024,TATAMOTORS
"Tata Motors Q1 Results FY 2024-25 Date: Quarterly earnings schedule, analyst call timings of Tata Group firm",ET Now,30 Jul 2024,TATAMOTORS
Tata Motors board approves demerger of commercial vehicle business into separate listed entity,CNBC TV18,1 Aug 2024,TATAMOTORS
