Heading,Source,Date,Symbol
Major leadership rejig at Nestle India; Rajat Jain to get significant role within group,Moneycontrol,14 Aug 2024,NESTLEIND
Buy or sell: Sumeet Bagadia recommends three stocks to buy on Monday — August 5,Mint,4 Aug 2024,NESTLEIND
"F&O stocks to buy & sell today: UPL, HDFC Bank among top 7 trading ideas for 2 August",The Economic Times,2 Aug 2024,NESTLEIND
"Stock Market Highlight: Markets end flat! Nifty holds 24,800, Sensex above 81,100; Midcaps underperform",Financial Express,23 Aug 2024,NESTLEIND
Nestlé invests further in Indian joint venture with Dr Reddy’s,Global Food Industry News,5 Aug 2024,NESTLEIND
"Stock Market Highlights, August 2: Sensex plunges 886 pts, Nifty ends near 24,700; Auto, IT fall",Business Standard,2 Aug 2024,NESTLEIND
Dr Reddy's invests Rs 734 crore in JV with Nestle India,Times of India,2 Aug 2024,NESTLEIND
"Nestle India invests ₹705.6 crore in JV with Dr Reddy’s, to hold 49 per cent stake",BusinessLine,2 Aug 2024,NESTLEIND
Buy or sell: Vaishali Parekh recommends three stocks to buy today — August 23 | Stock Market News,Mint,23 Aug 2024,NESTLEIND
"Stock Market Highlight, Aug 28: Sensex ends flat, Nifty shields 25k after scaling new high; IT leads",Business Standard,28 Aug 2024,NESTLEIND
