Heading,Source,Date,Symbol
"Asian Paints Share Price Today Updates: Asian Paints Closes at Rs 3,358.60, Marking a 0.73% Decline",The Economic Times,13 Sept 2024,ASIANPAINT
Asian Paints Dividend: RECORD DATE fixed; Rs 33.3 cash reward in FY24,ET Now,13 Sept 2024,ASIANPAINT
"Asian Paints sets board meeting date to consider dividend, sets record date",Mint,13 Sept 2024,ASIANPAINT
"Asian Paints Reports 4Q, Full FY 2024 Results",Coatings World,5 Sept 2024,ASIANPAINT
Why Asian Paints Share Price is Rising,Equitymaster,5 Sept 2024,ASIANPAINT
"Morgan Stanley bumps FY25 earnings estimate for Asian Paints, Berger Paints on low oil prices; retains...",Moneycontrol,30 Sept 2024,ASIANPAINT
"Asian Paints, Indigo Paints, Kansai gain up to 5% on falling oil prices",Business Standard,4 Sept 2024,ASIANPAINT
"Asian Paints, Nykaa, Laxmi Organics: How to trade these 3 buzzing stocks",Business Today,9 Sept 2024,ASIANPAINT
Asian Paints appoints Varun Berry as an Independent Director,ETLegalWorld.com,10 Sept 2024,ASIANPAINT
"Breakouts Updates: Asian Paints on the Rise, Key Breakout Above Resistance Level",The Economic Times,26 Sept 2024,ASIANPAINT
