Heading,Source,Date,Symbol
"Axis Bank on SEBI order against subsidiary: ‘Only for new merchant assignments, other biz ops unaffected’",Mint,20 Sept 2024,AXISBANK
Axis Bank shares in focus amid SEBI order on Axis Capital; key details,Business Today,20 Sept 2024,AXISBANK
RBI fines Axis Bank and HDFC Bank for regulatory violations,CNBC TV18,10 Sept 2024,AXISBANK
Sebi bars Axis Capital from debt merchant banking activities until further orders,The Economic Times,19 Sept 2024,AXISBANK
"RBI slaps penalties on Axis, HDFC Bank for non-compliance with directives",Business Standard,10 Sept 2024,AXISBANK
"Axis Bank, Mastercard tie up to launch premium credit card for small business owners",Moneycontrol,25 Sept 2024,AXISBANK
Axis Finance appoints Sai Giridhar as the Managing Director & CEO,Storyboard18,23 Sept 2024,AXISBANK
Axis Finance appoints Sai Giridhar as MD & CEO,ETHRWorld.com,24 Sept 2024,AXISBANK
"Stocks in news: NTPC, Axis Bank, Tata Power, Phoenix Mills, IDFC First, IOB & Reliance Infra",Business Today,20 Sept 2024,AXISBANK
"Stocks to watch: RIL, Adani Enterprises, Axis Bank, Canara Bank, Vedanta, and more",Mint,5 Sept 2024,AXISBANK
