Heading,Source,Date,Symbol
Wipro Quarterly Results for Second Quarter Ending September,Wipro,30 Sept 2024,WIPRO
"PFC, Wipro and Welspun Living: StoxBox’s top 3 investment picks for high returns",Mint,4 Sept 2024,WIPRO
"Wipro rises over 3%, lifts Nifty IT index to fresh peak",Moneycontrol,13 Sept 2024,WIPRO
"Wipro, KPIT Tech, Infosys, TechM: How US Fed rate cuts may impact IT sector; stocks to buy",Business Today,18 Sept 2024,WIPRO
"TCS, Infosys and Wipro are among the top NIFTY losers; here’s why",Upstox,18 Sept 2024,WIPRO
"Stock Market Highlights, Sept 04: Sensex sheds 203 points, Nifty ends below 25,200; Banks, IT drag",Business Standard,4 Sept 2024,WIPRO
"HCLTech, Wipro see discretionary spends uptick in BFSI sector",The Economic Times,2 Sept 2024,WIPRO
Wipro partners with New York airport to reduce emissions by half in six years,CNBC TV18,5 Sept 2024,WIPRO
"Stock Market Highlight: Markets end lower! Nifty at 25,200, Sensex down 170 points; Bank Nifty drops 300 points",Financial Express,4 Sept 2024,WIPRO
"Infosys, Wipro to start techfin centres at GIFT City",Times of India,18 Sept 2024,WIPRO
