Heading,Source,Date,Symbol
HDFC Standard Life buys PNB Housing Finance's shares worth Rs 90 cr,Business Standard,29 Oct 2024,HDFCLIFE
HDFC Life Insurance Company Share Price Updates: HDFC Life Insurance Company Posts Gains Today,The Economic Times,4 Oct 2024,HDFCLIFE
HDFC Life Q2 net profit jumps 15% on-year; robust premium income helps insurer beat Street,Moneycontrol,15 Oct 2024,HDFCLIFE
"HDFC Life Q2 results: Net profit rises 15%, new business premium up 14%",CNBC TV18,15 Oct 2024,HDFCLIFE
HDFC Life Q2 Results: Net profit rises 15% YoY to ₹433 crore; net premium income improves by 12%,Mint,15 Oct 2024,HDFCLIFE
"Q2 Results 2024: HDFC Life Insurance, HDFC AMC, others releasing Q2FY25 results today; PVR INOX reports loss at Rs 11.80 cr",Financial Express,16 Oct 2024,HDFCLIFE
HDFC Standard Life Acquires Rs 90 Crore Stake in PNB Housing Finance,Elets BFSI,30 Oct 2024,HDFCLIFE
HDFC Life Q2 Results: Net Profit Surged 15% To Rs 433 Cr; Healthy Performance Across All Metrics,Goodreturns,15 Oct 2024,HDFCLIFE
HDFC Life Insurance Company Stocks Live Updates: HDFC Life Insurance Company Faces Market Setback,The Economic Times,3 Oct 2024,HDFCLIFE
"Shares to buy or sell: Ruchit Jain of 5paisa recommends Tech Mahindra, HDFC Life today",Mint,15 Oct 2024,HDFCLIFE
