Heading,Source,Date,Symbol
"L&T Q2 Results: Cons PAT rises 5% YoY to Rs 3,395 crore, revenue jumps 21%",The Economic Times,30 Oct 2024,LT
L&T Q2 results preview: Profit may rise up to 19% YoY; margins could shrink,Business Standard,29 Oct 2024,LT
Larsen & Toubro share price jumps over 6.5% on strong Q2 performance,Mint,31 Oct 2024,LT
L&T shares climbed 5% today; here are target prices,Business Today,31 Oct 2024,LT
"L&T shares surge 4% as Q2 betters estimates; Should you Buy, Sell, or Hold?",Financial Express,31 Oct 2024,LT
"Bluechip stock in focus after receiving order worth over ₹1,000 Cr for nuclear project",Trade Brains,25 Oct 2024,LT
"L&T share price target 2025: Buy, Sell or Hold? JPMorgan view",ET Now,13 Oct 2024,LT
L&T shares fall 2% as UBS downgrades to 'neutral' citing near term hurdles,Moneycontrol,25 Oct 2024,LT
Afcons Infrastructure IPO Opens Today. Is This the Next L&T in the Making?,Equitymaster,25 Oct 2024,LT
"L&T Q2 Results: Net profit rises 5% to ₹3,395 crore even as order book falls 10%, revenue up 21% YoY; 5 takeaways",Mint,30 Oct 2024,LT
