Heading,Source,Date,Symbol
Titan Company Share Price Updates: Titan Company Experiences Decline,The Economic Times,7 Oct 2024,TITAN
Why did Titan shares tumble 3% despite stellar Q2 business report?,Business Standard,7 Oct 2024,TITAN
Titan share price drops despite strong Q2 business update. Should you buy the Tata group stock?,Mint,7 Oct 2024,TITAN
"Tata stock: Titan Company shares erase early gains today, what brokerages say",Business Today,10 Oct 2024,TITAN
Morgan Stanley sees 80% chance of price rally in Titan,Moneycontrol,3 Oct 2024,TITAN
Titan shares surge 2% on 25% Q2 growth on strong gold demand,Financial Express,7 Oct 2024,TITAN
Titan Company names PB Balaji as new nominee director from Tata Sons,CNBC TV18,23 Oct 2024,TITAN
"Ratan Tata Group Stocks, Tata Power, Tata Steel, Tata Motors, Titan Share Price Highlights October 11, 2024: Trent shares close among top gainers of Nifty 50 pack",BusinessLine,11 Oct 2024,TITAN
"Titan Q2 update: Tata Group firm posts 25% YoY growth in business, adds 75 new stores",Mint,4 Oct 2024,TITAN
"Stock Radar: Titan, Jio Financial, Bandhan Bank, Lupin, CG Power, Diffusion Engineers, GAIL in focus on...",Moneycontrol,6 Oct 2024,TITAN
