Heading,Source,Date,Symbol,Month
BPCL Share Price Highlights: BPCL Stock Price History,The Economic Times,2024-11-06,BPCL,2024-11
"BPCL, Coal India among 13 Nifty stocks with up to 80% YoY decline in Q2 PAT",The Economic Times,2024-11-25,BPCL,2024-11
OMC stocks plunge 5% on bearish Goldman Sachs note; Indian Oil has highest downside risk after Q2 results,Moneycontrol,2024-11-04,BPCL,2024-11
"Q2FY25 review: Weak quarter as Nifty delivers just 4% YoY earnings growth; RIL, BPCL among major drags",The Economic Times,2024-11-18,BPCL,2024-11
Oil and Gas shares fall,Business Standard,2024-11-18,BPCL,2024-11
"Nifty 50 Rejig: Jio Financial Services, Zomato shares among top contenders for inclusion in March 2025 — JM Financial",Mint,2024-11-14,BPCL,2024-11
BPCL to commission its first green jet fuel production facility by 2027 in line with govt’s blending...,Moneycontrol,2024-11-27,BPCL,2024-11
"BPCL, Vedanta, Coal India among 15 large-cap stocks with highest dividend yields. Do you own any?",Mint,2024-11-19,BPCL,2024-11
"NSE Indices March Rejig; Jio Financial, Zomato May Replace BPCL, Eicher On Nifty 50; $607-372 Mn Inflows Seen",Goodreturns,2024-11-14,BPCL,2024-11
Weak refining margins may continue for OMCs in Q3 - Industry News,Financial Express,2024-11-07,BPCL,2024-11
Maharashtra loses out as Gujarat and Andhra secure Saudi-backed refineries,Business Standard,2024-11-27,BPCL,2024-11
"Mukesh Ambani, Akash Ambani are waiting eagerly for December 23, the date is crucial for Jio Financial Servic",India.Com,2024-11-28,BPCL,2024-11
