Heading,Source,Date,Symbol,Month
"Zomato m-cap pips that of Tata Motors, Bajaj Auto; analysts stay bullish",Business Standard,2024-12-19,BAJAJ-AUTO,2024-12
Bajaj Auto stock down 31% from Sept high; can Chetak 35 series launch lift sentiment?,Business Today,2024-12-24,BAJAJ-AUTO,2024-12
Bajaj Auto Q3 results FY25 date and time: Quarterly earnings schedule of vehicle maker out,ET Now,2024-12-31,BAJAJ-AUTO,2024-12
"Stocks to Watch, Dec 9: GCPL, IndiGo, M&M, CEAT, Bajaj Auto, Paytm, SBI",Business Standard,2024-12-09,BAJAJ-AUTO,2024-12
"Stocks in news: Bajaj Auto, Star Health, Awfis Space, NTPC Green, Ujjivan SFB",The Economic Times,2024-12-11,BAJAJ-AUTO,2024-12
"Bajaj Finance pivots to profitability with AI, scales back payments ambitions | Company Business News",Mint,2024-12-13,BAJAJ-AUTO,2024-12
"Bajaj Finance stock may face near-term pain as it marches ahead on growth, seeking wider market share | Stock Market News",Mint,2024-12-13,BAJAJ-AUTO,2024-12
Zomato shares in focus after Sensex Entry: Market cap surpasses Tata Motors and Bajaj Auto,Financial Express,2024-12-20,BAJAJ-AUTO,2024-12
"Bajaj Auto posts 5% growth in total vehicle sales at 421,640 units in Nov",Business Standard,2024-12-02,BAJAJ-AUTO,2024-12
Hot Stocks: Brokerages view on Westlife Food & CUB; UBS recommend Sell on Bajaj Auto,The Economic Times,2024-12-06,BAJAJ-AUTO,2024-12
Bajaj Auto announces 5% overall vehicle sales for November,Times of India,2024-12-02,BAJAJ-AUTO,2024-12
"‘Ola toh Ola hai, Chetak shola hai’: Rajiv Bajaj takes dig at Ola Electric",Mint,2024-12-08,BAJAJ-AUTO,2024-12
Stocks to buy: Ankush Bajaj recommends three stocks for today—30 December | Stock Market News,Mint,2024-12-30,BAJAJ-AUTO,2024-12
Bajaj Auto refutes price cut claims in Freedom 125 and Pulsar models,Business Standard,2024-12-05,BAJAJ-AUTO,2024-12
"Rising STAR! Zomato Is Bigger Than Giants Tata Motors, Bajaj Auto; From Rs 76 To 300",Goodreturns,2024-12-20,BAJAJ-AUTO,2024-12
"Auto shares in demand; Escorts, Tata Motors, Eicher, M&M rally up to 5%",Business Standard,2024-12-27,BAJAJ-AUTO,2024-12
Stocks to buy: Ankush Bajaj recommends three stocks for today—26 December | Stock Market News,Mint,2024-12-26,BAJAJ-AUTO,2024-12
Bajaj Auto's Chetak 35-Series exports may start within six months,Business Standard,2024-12-20,BAJAJ-AUTO,2024-12
"DMart, Asian Paints, and Bajaj Finance underperform: Here’s how these bluechip companies facing heat from competition and disruption",Upstox,2024-12-04,BAJAJ-AUTO,2024-12
Swiggy and Hyundai Motors among 11 midcap stocks eyeing largecap status,The Economic Times,2024-12-05,BAJAJ-AUTO,2024-12
"Stocks To Watch: Bajaj Auto, Star Health, NTPC Green, Biocon, Ujjivan SFB, And Others",News18,2024-12-11,BAJAJ-AUTO,2024-12
"Share Market Highlights 6 December 2024: Sensex, Nifty dip; RBI’s CRR cut eases liquidity worries",BusinessLine,2024-12-06,BAJAJ-AUTO,2024-12
New Bajaj Chetak: Top updates to expect on December 20,Financial Express,2024-12-06,BAJAJ-AUTO,2024-12
Rupee fall: Gains for domestic carmakers; margin pressure for luxury players,Financial Express,2024-12-26,BAJAJ-AUTO,2024-12
"In our sector, trust and credentials are key: Shriram Finance’s Venkatraman | Company Business News",Mint,2024-12-16,BAJAJ-AUTO,2024-12
"Bajaj Chetak 3501: Company unveils new Chetak e-scooters! Check price, specification and delivery date",ET Now,2024-12-20,BAJAJ-AUTO,2024-12
Flipkart Big Saving Days: Unbeatable Bajaj Chetak 3202 discount,Financial Express,2024-12-23,BAJAJ-AUTO,2024-12
Just 12 OEMs achieve 50% domestic value addition target in PLI-Auto,Business Standard,2024-12-25,BAJAJ-AUTO,2024-12
"Zomato, JFS, VBL shares likely to see passive inflows, HAL & Tata Power to see outflows; here's why",Business Today,2024-12-30,BAJAJ-AUTO,2024-12
Stocks to buy: Two stock recommendations from MarketSmith India for 18 December | Stock Market News,Mint,2024-12-18,BAJAJ-AUTO,2024-12
Why Tata Motors stock is falling? 4 key reasons driving the decline,ET Auto,2024-12-25,BAJAJ-AUTO,2024-12
InCred Financial aims for a Diwali ’25 IPO | Company Business News,Mint,2024-12-17,BAJAJ-AUTO,2024-12
Microfinance mayhem: This MFI ​could have ​‘going concern’ issues | Stock Market News,Mint,2024-12-23,BAJAJ-AUTO,2024-12
