Heading,Source,Date,Symbol
ONGC and bp sign contract to enhance production from Mumbai High | News and insights | Home,BP,10 Feb 2025,ONGC
"ONGC Dividend 2025 Record Date: Rs 5 cash reward – Check ex-date, other details",ET Now,6 Feb 2025,ONGC
ONGC inks E&P pact with bp,Financial Express,10 Feb 2025,ONGC
"ONGC shares in focus after investment in subsidiary, acquisition of PTC Energy",The Economic Times,25 Feb 2025,ONGC
Why You Might Be Interested In Oil and Natural Gas Corporation Limited (NSE:ONGC) For Its Upcoming Dividend,Simply Wall Street,4 Feb 2025,ONGC
"ONGC shares: Oil PSU a buy, hold or sell? Here are stock price targets",Business Today,4 Feb 2025,ONGC
What is the road ahead for the ailing Oil & Gas sector? Analysts decode,Mint,25 Feb 2025,ONGC
Oil and Gas shares gain,Business Standard,6 Feb 2025,ONGC
"ONGC, MRPL, SOCAR sign MoU to boost India-Azerbaijan energy trade",ET EnergyWorld,14 Feb 2025,ONGC
ONGC shares tumble 3% on reporting 19% YoY fall in Q3 PAT,The Economic Times,1 Feb 2025,ONGC
