Heading,Source,Date,Symbol
Dr Reddys Share Price Highlights: Dr. Reddys Stock Price History,The Economic Times,13 Mar 2025,DRREDDY
"Stocks to Watch Today: Welspun Corp, NCC, Mahindra and Mahindra, Dr Reddys, Alembic Pharma, Godrej...",Moneycontrol,24 Mar 2025,DRREDDY
"Stock market today: Nifty levels to watch; trading views on Dr Reddys Labs, Cipla & Zydus Life",Business Today,17 Mar 2025,DRREDDY
Senores Pharma up 7% on acquiring 14 ANDAs from Dr. Reddy's Laboratories,Business Standard,4 Mar 2025,DRREDDY
Dr Reddy's Labs Dividend: Cash reward announcement in Q4 Results 2025 – Check quarterly earnings schedule,ET Now,22 Mar 2025,DRREDDY
Does Dr. Reddy's Laboratories (NSE:DRREDDY) Have A Healthy Balance Sheet?,Simply Wall Street,2 Mar 2025,DRREDDY
"Dr. Reddy's Issues a Nationwide Recall of Levetiracetam in 0.75% Sodium Chloride Injection 1,000 mg/100 mL, in the U.S., due to Mislabeling of Infusion Bag",Business Wire,13 Mar 2025,DRREDDY
Cheapest pharma stocks in India,Financialexpress,3 Mar 2025,DRREDDY
Dr Reddys Share Price Highlights: Dr. Reddys Stock Price History,The Economic Times,25 Mar 2025,DRREDDY
"Stocks to Watch Today: Bajaj Auto, LIC, Dr Reddys Labs Zydus Lifesciences, GR Infraprojects, Super Iron...",Moneycontrol,19 Mar 2025,DRREDDY
