Heading,Source,Date,Symbol
Power Grid Corporation of India Ltd up for third straight session,Business Standard,5 Mar 2025,POWERGRID
Power Grid Corporation Of India - These 3 stocks showed RSI trending up on March 10,The Economic Times,11 Mar 2025,POWERGRID
"Top stocks to watch: RIL, ITC, Power Grid, LTIM, Vedanta, HAL, Paytm, BSE, Federal Bank & RITES",Business Today,1 Apr 2025,POWERGRID
Power Grid's order book surges 60% YoY to Rs 1.4 trillion; time to BUY PSU stock?,ET Now,6 Mar 2025,POWERGRID
"Stocks to watch: Power Grid, HCL Tech, EaseMyTrip, RVNL, NHPC among shares in focus today",Mint,25 Mar 2025,POWERGRID
"Power Grid Corporation bags new projects, share price rise 3%; details here",Business Standard,5 Mar 2025,POWERGRID
Power Grid shares in focus after winning bid for inter-state transmission project,The Economic Times,7 Mar 2025,POWERGRID
"Stocks to watch: Biocon, Coforge, Adani Wilmar, Ola Electric, Power Grid among shares to remain in focus today",Mint,5 Mar 2025,POWERGRID
"Stocks in news: Power Grid, ONGC, Coforge, Adani Wilmar, Grasim, ABB India, Ola Electric & Biocon",Business Today,5 Mar 2025,POWERGRID
"NTPC, Power Grid get new 'overweight' from JPMorgan on rising demand growth",Business Standard,26 Mar 2025,POWERGRID
