Heading,Source,Date,Symbol
"Stocks to buy today: ICICI Bank, M&M among top 7 trading ideas for 16 May 2025",The Economic Times,16 May 2025,ICICIBANK
"RBI Fines ICICI, Axis, 3 Other Key Banks Over Lack Of Regulatory Compliances",NDTV,4 May 2025,ICICIBANK
Smart Stocks | The silent revolution: How ICICI Bank is closing in on HDFC Bank,The Indian Express,2 May 2025,ICICIBANK
Did SBI lag ICICI Bank and HDFC Bank in March 2025 quarter?,Financial Express,3 May 2025,ICICIBANK
ICICI Bank unlikely to increase its headcount on a net basis in FY26,Business Standard,1 month ago,ICICIBANK
"Nifty Top Gainers And Losers On May 9: Titan, Tata Motors, L&T To ICICI Bank, PowerGrid",NDTV Profit,9 May 2025,ICICIBANK
"Breakout Stocks: How to trade KPR Mill, CEAT and ICICI Bank that hit fresh 52-week high?",The Economic Times,8 May 2025,ICICIBANK
"SC upholds ICICI Securities delisting, dismisses investor plea over valuation",Financial Express,1 month ago,ICICIBANK
"SC upholds ICICI Securities delisting, dismisses plea over valuation",Business Standard,1 month ago,ICICIBANK
ICICI Bank Share Price Highlights: ICICI Bank Stock Price History,The Economic Times,16 May 2025,ICICIBANK
