Heading,Source,Date,Symbol
"Stocks to Watch Today: ITC, Bajaj Finance, Sun Pharmaceutical, Syngene, Natco Pharma, Vedanta, Sacheerome...",Moneycontrol,4 weeks ago,SUNPHARMA
New launches to drive Sun Pharma’s future growth; PAT may take a hit by tax surge,The Economic Times,1 month ago,SUNPHARMA
Sun Pharma Advanced Research hits 20% lower band; what's rattling Street?,Business Standard,1 month ago,SUNPHARMA
"Stocks to buy for short term: Nagaraj Shetti suggests Bajaj Finserv, Sun Pharma shares; do you own?",Mint,1 month ago,SUNPHARMA
"Stocks to watch on June 16: Adani Enterprises, Sun Pharma, NTPC, Bajaj Finance",India Today,4 weeks ago,SUNPHARMA
"Sun Pharma, Cochin Shipyard Among Key Stock Picks For Geojit Financials Gaurang Shah",NDTV Profit,1 month ago,SUNPHARMA
Is the Halol hurdle too high for Sun Pharma? 4 reasons why Nomura sees limited upside potential,Financial Express,3 weeks ago,SUNPHARMA
"Sun Pharma, Power Grid and 3 other fundamentally strong stocks trading below 200 DMA",Trade Brains,1 month ago,SUNPHARMA
India's Sun Pharma names Kirti Ganorkar as managing director,Reuters,1 month ago,SUNPHARMA
"Pharma Stocks in News: Sun Pharma, Zydus Lifesciences shares in focus; heres why",Zee Business,1 month ago,SUNPHARMA
