Heading,Source,Date,Symbol
"Sun Pharma shares tumble 5% but brokerages raise target up to Rs 1,785. Should you buy, sell or hold?",The Economic Times,23 May 2024,SUNPHARMA
"Sun Pharma Q4 results: Net profit rises 34% to Rs 2,654.5 crore, final dividend of Rs 5 announced",Moneycontrol,22 May 2024,SUNPHARMA
Sun Pharma hits over 3 month low; slips 5% in strong market post Q4 results,Business Standard,23 May 2024,SUNPHARMA
"Q4 results: Sun Pharma beats profit estimates, declares dividend of ₹5 per share",Mint,22 May 2024,SUNPHARMA
"Sun Pharma Q4 Results 2024 Date and Time: Dividend news, quarterly earnings preview, expectations",ET Now,21 May 2024,SUNPHARMA
"Sun Pharma Q4 Results: US sales below lowest estimate, higher other income aids profit",CNBC TV18,22 May 2024,SUNPHARMA
"Sun Pharma Q4 net rises 34% to ₹2,654 crore",The Hindu,22 May 2024,SUNPHARMA
"India's Sun Pharma beats Q4 profit view on strong US, domestic sales",Reuters,22 May 2024,SUNPHARMA
"Sun Pharma Q4 Results: Profit rises by 33.8% to Rs 2654.58 crore, dividend of Rs 5 announced",Financial Express,22 May 2024,SUNPHARMA
"Taro Provides Results for Year Ended March 31, 2024",Business Wire,20 May 2024,SUNPHARMA
