Heading,Source,Date,Symbol
"Apollo Hospitals Q4 net profit jumps 77% to Rs 258 crore, meets expectation",Moneycontrol,30 May 2024,APOLLOHOSP
Apollo Hospitals Q4 Results: Net profit soars 77% YoY to Rs 258 crore; revenue jumps 15%,The Economic Times,30 May 2024,APOLLOHOSP
Apollo hospital gains over 3% as Q4 net profit jumps 77%; Find out what brokerages say,Financial Express,31 May 2024,APOLLOHOSP
"Q4 Results | Apollo Hospitals beats the Street, declares dividend of ₹10 as net profit zooms 78%",CNBC TV18,30 May 2024,APOLLOHOSP
"Apollo Hospitals Q4 Results: Profit Up 77.5%, Meets Estimates",NDTV Profit,30 May 2024,APOLLOHOSP
Apollo Hospitals post 76% rise in Q4 profits to ₹254 crore,Mint,30 May 2024,APOLLOHOSP
Apollo Hospitals share price target: Stock jumps 3% after Q4 profit rises; should you buy or wait?,Zee Business,31 May 2024,APOLLOHOSP
"Apollo Hospitals Q4 result: PAT up 76% at Rs 254 cr; revenue at Rs 4,944 cr",Business Standard,30 May 2024,APOLLOHOSP
India's Apollo Hospitals misses Q4 profit estimates on higher expenses,Reuters,30 May 2024,APOLLOHOSP
"Q4 Results Today: Reliance Infra, Muthoot Finance, Apollo Hospitals among 908 companies to post earnings on May 30",Mint,30 May 2024,APOLLOHOSP
