Heading,Source,Date,Symbol
Cipla Q2 Results Live: Profit Rises by 15.18% YoY,Mint,30 Oct 2024,CIPLA
"Cipla faces challenges of slow growth, drug launch; analysts slash target",Business Standard,30 Oct 2024,CIPLA
"Cipla stock in focus after Q2 PAT beats estimates. Should you buy, sell or hold?",The Economic Times,30 Oct 2024,CIPLA
Q2FY25: Cipla reports 15.2% rise in net profit to Rs 1303 crore; Slow growth reported in acute category,Financial Express,29 Oct 2024,CIPLA
Cipla shares jumped 10% today after THIS update from USFDA. Details here,Business Today,31 Oct 2024,CIPLA
Cipla share price falls the most among Nifty companies - Hindustan Times,Hindustan Times,30 Oct 2024,CIPLA
Multiple near-term challenges may hijack Cipla's growth trajectory,Moneycontrol,30 Oct 2024,CIPLA
Cipla shares jump 10% after USFDA paves the way for an important drug launch,CNBC TV18,31 Oct 2024,CIPLA
"Pharma Major Cipla Declares 15.2% YoY Surge In Q2 Net Profit, Shares In Red; Buy?",Goodreturns,29 Oct 2024,CIPLA
"Cipla Q2 results: Net profit rises 15% to Rs 1,303 crore, revenue up 5.6%",Business Standard,29 Oct 2024,CIPLA
