Heading,Source,Date,Symbol,Month
"Dr Reddy's earnings future uncertain beyond FY27, say analysts; stock up 3%",Business Standard,2024-11-06,DRREDDY,2024-11
"Dr Reddy's Labs Q2 Results: Profit falls 15% YoY to Rs 1,255 crore, revenue up 17%",The Economic Times,2024-11-05,DRREDDY,2024-11
"Dr Reddy's Q2 results: Net profit falls 15% to Rs 1,255 crore",Moneycontrol,2024-11-05,DRREDDY,2024-11
"Dr Reddys Share Price Rises As Analysts Upgrade Rating, Hike Target Price",NDTV Profit,2024-11-06,DRREDDY,2024-11
"Dr Reddy's Labs Q2 Preview: Profits may decline 7%, revenues to rise 12%",Business Standard,2024-11-04,DRREDDY,2024-11
"Q2FY25: Dr. Reddy’s net profit falls 15 percent to Rs 1,255 crore, revenue up 17 percent",Financial Express,2024-11-05,DRREDDY,2024-11
Dr Reddy's clocks highest-ever revenue in Q2; net profit down 9.5%,Business Standard,2024-11-05,DRREDDY,2024-11
"Stocks to Watch, Nov 4: Sun Pharma, Dr Reddy's, Zen Tech, Afcons Infra",Business Standard,2024-11-04,DRREDDY,2024-11
"Stocks To Watch: Titan Company, Dr Reddy’s Lab, Oil India, NTPC, Infosys, Hero MotoCorp, JK Tyre, Tata Steel",Financial Express,2024-11-06,DRREDDY,2024-11
"Q2 results today: Titan, Mazagon, and Dr Reddy's among 63 to post earnings",Business Standard,2024-11-05,DRREDDY,2024-11
"Q2 Result 2024: Titan Company, GAIL, Mankind Pharma, Dr Reddy’s, Berger Paints, others releasing Q2 results today",Financial Express,2024-11-05,DRREDDY,2024-11
"Stocks To Watch: ABB India, IRCTC, Gland Pharma, Amara Raja Energy, Afcons Infrastructure, Dr Reddy’s Labs, Titan Company",Financial Express,2024-11-05,DRREDDY,2024-11
"Titan, GAIL, Oil India, Dr Reddys Labs Q2 Results Today — Earnings Estimates",NDTV Profit,2024-11-05,DRREDDY,2024-11
Dr Reddy's Laboratories Ltd (RDY) (HY 2025) Earnings Call Highlights: Strong Revenue Growth and ...,Yahoo Finance,2024-11-05,DRREDDY,2024-11
Dr Reddys Q2FY25 earnings preview: Expectations of steady revenue growth but margins under pressure,Zee Business,2024-11-04,DRREDDY,2024-11
Stock Market Highlights: Nifty forms Piercing Line candle on daily chart. How to trade on Wednesday,The Economic Times,2024-11-05,DRREDDY,2024-11
"Stocks to Buy today: Reliance, Dr Reddy, Vodafone Idea and 2 more",News9live,2024-11-07,DRREDDY,2024-11
