Heading,Source,Date,Symbol,Month
Britannia Industries Q2 Results Live: Profit Falls by 9.55% YoY,Mint,2024-11-12,BRITANNIA,2024-11
"Britannia Industries Q2 Results: PAT falls 10% YoY to Rs 531 crore, revenue up 5%",The Economic Times,2024-11-11,BRITANNIA,2024-11
"Britannia Industries shares sink amid poor Q2 show, brokerages remain neutral",Moneycontrol,2024-11-12,BRITANNIA,2024-11
"Britannia Q2 Results Highlights: Net profit declines 9.6% to ₹531.45 crore, revenue up 4%",Upstox,2024-11-11,BRITANNIA,2024-11
"Stocks To Watch: Britannia Industries, Nykaa, Tata Chemicals, Reliance Industries, Larsen & Toubro, IOC, Medplus Health Services",Financial Express,2024-11-13,BRITANNIA,2024-11
Britannia Industries to remain focused on driving market share: Varun Berry,Business Standard,2024-11-12,BRITANNIA,2024-11
Britannia Industries Q2FY25 consolidated net profit slips 9% to Rs 532 crore,Moneycontrol,2024-11-11,BRITANNIA,2024-11
Britannia Q2 preview: Here's how analysts' expect Britannia to fare in Q2,Business Standard,2024-11-11,BRITANNIA,2024-11
"Britannia Industries may hike prices to combat surging input costs, maintain margins",Moneycontrol,2024-11-12,BRITANNIA,2024-11
Britannia needs a new recipe to attract cost-conscious urbanites,The Economic Times,2024-11-13,BRITANNIA,2024-11
"Stocks To Watch: ONGC, Britannia Industries, Bank of India, Hindalco Industries, NMDC, L&T Technology Services, Welspun Corp, HFCL",Financial Express,2024-11-12,BRITANNIA,2024-11
"Britannia dips 9% in 2 days, hits over 5-mth low; brokerages mixed",Business Standard,2024-11-12,BRITANNIA,2024-11
"Q2 Result 2024: ONGC, Hindalco, Britannia, Godfrey Phillips, Devyani International, others releasing Q2 results today",Financial Express,2024-11-11,BRITANNIA,2024-11
"Q2 results today: Hindalco, ONGC, Britannia among 321 to post earnings",Business Standard,2024-11-11,BRITANNIA,2024-11
"Q2 Results Updates: Hindalco Industries Profit Rises 78%; ONGC Profit Flat At Rs 9,878 Crore",NDTV Profit,2024-11-13,BRITANNIA,2024-11
"Q2 results today: ONGC, Hindalco, Britannia, Shree Cements, Bank of India, NMDC, Ramco Cements, UPL, Blue Dart and more",Mint,2024-11-11,BRITANNIA,2024-11
"Stocks to watch, Nov 11: Asian Paints, Britannia, Vedanta, REC, Tata Motors",Business Standard,2024-11-11,BRITANNIA,2024-11
"Britannia Q2 results FY 2024-25: Good Day maker's PAT slips 10%! Check revenue, EBITDA and other key earnings",ET Now,2024-11-11,BRITANNIA,2024-11
"Q2 Results 2024 updates: NMDC net profit jumps 18% to Rs 1,212 crore",Moneycontrol,2024-11-11,BRITANNIA,2024-11
"Middle class hit by low wages, costly realty: Britannia’s Berry",Financial Express,2024-11-13,BRITANNIA,2024-11
"Stock Market Highlights: Nifty likely to bounce from 23,800 level, forms ​a small bullish candle. How to ...",The Economic Times,2024-11-11,BRITANNIA,2024-11
"Stocks in news: Sagility, Hindalco, Britannia, ONGC, LTTS, Bank of India, NMDC & Awfis Space",Business Today,2024-11-12,BRITANNIA,2024-11
Britannia Industries Shares Plunge Over 5% On NSE Following Q2 Results With Lower Profit Margins,Free Press Journal,2024-11-12,BRITANNIA,2024-11
"NMDC, ONGC, Azad Engineering, Orient Technologies, UPL Among 300+ Companies To Declare Q2 Results Today",NDTV Profit,2024-11-11,BRITANNIA,2024-11
Q2 results today: Hyundai and Nykaa among over 500 firms to post earnings,Business Standard,2024-11-12,BRITANNIA,2024-11
"Reliance Power posts Rs 2,878 cr profit in Q2, income dips to Rs 1,962.7 cr",Business Standard,2024-11-13,BRITANNIA,2024-11
"Stocks in news: Tata Motors, JSW Steel, LIC, Asian Paints, ITI, Divis Labs, Ola Electrics & GR Infra",Business Today,2024-11-11,BRITANNIA,2024-11
HealthCare Global to sell diagnostic business Triesta for Rs 135 crore,Business Standard,2024-11-11,BRITANNIA,2024-11
Exclusive: Britannia Chair Andrew Bole steps down,FX News Group,2024-11-11,BRITANNIA,2024-11
