Heading,Source,Date,Symbol,Month
"Grasim Industries profit decreases to 45.6 % to Rs 1,100 crore in Q2",Times of India,2024-11-15,GRASIM,2024-11
"Grasim Industries Q2 Results: Net profit slumps 66% to ₹390 crore dragged by renewable biz, revenue up 11% YoY",Mint,2024-11-14,GRASIM,2024-11
Grasim Industries Q2 net profit slumps 66% to Rs 390 crore,Moneycontrol,2024-11-14,GRASIM,2024-11
"Grasim Industries Q2FY25 results: Net profit falls 45.6% to Rs 1,100 crore",Business Standard,2024-11-14,GRASIM,2024-11
"Grasim Q2 profit drops 46% to ₹1,100 crore, hit by UltraTech and higher costs",CNBC TV18,2024-11-15,GRASIM,2024-11
Grasim Industries Q2 Results 2024: Profit Falls by 66.5% YOY,Mint,2024-11-15,GRASIM,2024-11
"Grasim Industries stock in focus ahead of Q2 results; double-digit growth seen in profit, revenue",Moneycontrol,2024-11-14,GRASIM,2024-11
"Grasim Industries Q2 Results: PAT falls 66% YoY to Rs 390 crore, revenue rises 11%",The Economic Times,2024-11-14,GRASIM,2024-11
Grasim Industries Share Price Live Updates: Record Date For The Second And Final Call Money On Rights Issue,The Economic Times,2024-11-14,GRASIM,2024-11
"Q2 Result 2024: HAL, Hero Motocorp, Muthoot Finance, Lemon Tree Hotels, and over 900 others releasing Q2 results today",Financial Express,2024-11-14,GRASIM,2024-11
Q2 Results Updates: Grasim Industries Profit Falls 9%; Hero MotoCorp Profit Rises 14%,NDTV Profit,2024-11-14,GRASIM,2024-11
"Stocks to watch on November 14: Vodafone Idea, Eicher Motors, Swiggy, Grasim & more",Upstox,2024-11-13,GRASIM,2024-11
"Stock Market Highlights: Sensex slips 111 pts in subdued trade, Nifty holds 23,500; Smallcaps shine",Business Standard,2024-11-14,GRASIM,2024-11
"Stock Market Highlights: Break below 23,500 likely to push Nifty further. How to trade on Monday",The Economic Times,2024-11-14,GRASIM,2024-11
"Stocks to watch, Nov 14: PFC, Eicher Motors, Vi, Nalco, Swiggy, ONGC",Business Standard,2024-11-14,GRASIM,2024-11
"Q2 results today: Hero MotoCorp, HAL, Glenmark among 1,181 to post earnings",Business Standard,2024-11-14,GRASIM,2024-11
