Heading,Source,Date,Symbol,Month
Adani Ports shares in focus as co withdraws $553 million US loan for Sri Lanka terminal,The Economic Times,2024-12-11,ADANIPORTS,2024-12
Adani Ports shares to be in spotlight today. Here's why,India Today,2024-12-11,ADANIPORTS,2024-12
Is Adani Ports and Special Economic Zone (NSE:ADANIPORTS) A Risky Investment?,Simply Wall Street,2024-12-13,ADANIPORTS,2024-12
Govt allows Adani Krishnapatnam Port to import petroleum up to March 2026,Business Standard,2024-12-09,ADANIPORTS,2024-12
Adani Ports withdraws from $553 million US loan deal for port terminal project in Colombo: Reports,Hindustan Times,2024-12-11,ADANIPORTS,2024-12
Why Adani Ports decided to opt out of $553 million US loan for Sri Lanka terminal,India Today,2024-12-11,ADANIPORTS,2024-12
Adani Ports pulls out of $553 million US funding deal for strategic Colombo Terminal project,Upstox,2024-12-10,ADANIPORTS,2024-12
Adani Group stock jumps after funding Colombo project through internal accruals and withdrawing $553 million US loan,Trade Brains,2024-12-12,ADANIPORTS,2024-12
Will use own resources: Adani opts out of US funding for Colombo project,Business Standard,2024-12-10,ADANIPORTS,2024-12
Adani Ports & SEZ to ‘use internal funds’ to finance CWIT,WorldCargo News,2024-12-11,ADANIPORTS,2024-12
Adani pulls out of $553 million US loan deal for Colombo port,Times of India,2024-12-11,ADANIPORTS,2024-12
"Amid US bribery scandal, Gautam Adani takes BIG decision, cancels Rs 46912193604 loan for Sri Lanka’s....",India.Com,2024-12-11,ADANIPORTS,2024-12
