Heading,Source,Date,Symbol,Month
Nippon AMC To Axis Bank And Maruti Suzuki: JM Financial Picks Top 12 Stocks For 2025,NDTV Profit,2024-12-11,AXISBANK,2024-12
"HDFC, ICICI, Axis Bank, SBI: What investors in Tokyo, Singapore say on these bank stocks",Business Today,2024-12-10,AXISBANK,2024-12
Max Life Insurance Company rebrands as Axis Max Life Insurance,CNBC TV18,2024-12-13,AXISBANK,2024-12
"Axis Bank, Nippon AMC, Maruti: JM Financial picks 12 stocks to buy for 2025",Business Standard,2024-12-11,AXISBANK,2024-12
"Stock recommendations by analyst for December 9: Axis Bank, Cyient and REC",BUSINESS TODAY,2024-12-09,AXISBANK,2024-12
"Stocks to buy for long-term: Axis Bank, BHEL, Maruti Suzuki, Zee, Cyient, among JMFL’s top 12 stock picks for 2025",Mint,2024-12-11,AXISBANK,2024-12
ICICI Bank Ltd Falls 0.55%,Business Standard,2024-12-11,AXISBANK,2024-12
"SC issues contempt notice to R Infra arm, Axis Bank over DMRC refund case",Business Standard,2024-12-11,AXISBANK,2024-12
Stock market today: Trade setup for Nifty 50 to US dollar; 5 stocks to buy or sell on Tuesday — Dec 10,Mint,2024-12-10,AXISBANK,2024-12
"Mahindra Susten's clean-tech arm secures Rs 1,448 crore term loan",Business Standard,2024-12-11,AXISBANK,2024-12
Max Life Rebrands to Axis Max Life Insurance,Adda247,2024-12-14,AXISBANK,2024-12
