Heading,Source,Date,Symbol,Month
"Coal India Share Price Highlights : Coal India closed today at ₹413.85, down -0.81% from yesterday's ₹417.25 | Stock Market News",Mint,2024-12-09,COALINDIA,2024-12
"Coal India's CSR spend exceeds Rs 5,570 crore over the past decade",Business Standard,2024-12-15,COALINDIA,2024-12
Coal gasification projects: Govt gives LoAs to 4 entities for incentives,Business Standard,2024-12-12,COALINDIA,2024-12
Delhi court sentences Abhijeet Infrastructure's officials in coal scam,Business Standard,2024-12-11,COALINDIA,2024-12
"Govt sets coal production target of 1,193.39 MT for FY26: Ministry officials",Moneycontrol,2024-12-13,COALINDIA,2024-12
A booming and coal-heavy steel sector risks India’s green goals,The Economic Times,2024-12-10,COALINDIA,2024-12
India’s Decarbonization Gets a Push as Govt Awards Incentives to New Era Cleantech & Coal India JVs for Coal Gasification,Press Trust of India,2024-12-12,COALINDIA,2024-12
KPI Green Energy Targets Up To 60% Revenue Growth Per Annum Till FY30 On Strong Order Book,NDTV Profit,2024-12-12,COALINDIA,2024-12
Coal-to-ethanol demonstration project in Maharashtra awarded Rs 100 crore financial incentive under scheme,ChiniMandi,2024-12-14,COALINDIA,2024-12
"NCL spends over Rs 1,000 crore in last 10 years under CSR initiatives",Business Standard,2024-12-15,COALINDIA,2024-12
"Coal Scam: Special CBI court convicts Abhijeet Infra Pvt Ltd, two others",Business Standard,2024-12-09,COALINDIA,2024-12
