Heading,Source,Date,Symbol,Month
BPCL share price gain on winning 150 MW solar PV power project,Moneycontrol,2024-12-26,BPCL,2024-12
"Stocks To Watch: India Cements, Swiggy, InterGlobe Aviation, Ola Electric, Indian Oil Corporation, Dabur, Bharat Petroleum Corporation - Market News",Financial Express,2024-12-26,BPCL,2024-12
"BPCL shares gain 2% after solar project win and Rs 6,100 crore refinery plan",Zee Business,2024-12-26,BPCL,2024-12
"BPCL begins Rs 6,100 cr pre-project activities on Andhra refinery",Business Standard,2024-12-24,BPCL,2024-12
"BPCL to commence pre-project activities to set up Rs 95,000 crore refinery in Andhra Pradesh, shares gain",Moneycontrol,2024-12-24,BPCL,2024-12
BPCL share price: PSU stock rises on bagging two BIG orders - Details,ET Now,2024-12-26,BPCL,2024-12
BPCL plans $11 billion refinery project in southern Andhra Pradesh,Business Standard,2024-12-27,BPCL,2024-12
BPCL clears decks for Rs 95k cr Ramayapatnam refinery in Andhra Pradesh,Business Standard,2024-12-24,BPCL,2024-12
India's BPCL buys Middle East grades to replace Russian shortfall,Reuters,2024-12-29,BPCL,2024-12
Market leader stock jumps after receiving ₹756 Cr order from NTPC for solar PV projects,Trade Brains,2024-12-26,BPCL,2024-12
"Stocks to Watch, Dec 26: IOC, Gland Pharma, BPCL, Ramky Infra, Ceigall",Business Standard,2024-12-26,BPCL,2024-12
"Stocks to Watch Today: NALCO, BPCL, Gland Pharma, Panacea Biotec, Ramky Infra, Ceigall India, Manorama in...",Moneycontrol,2024-12-26,BPCL,2024-12
BPCL picks Andhra Pradesh for India's last greenfield refinery project,The Economic Times,2024-12-25,BPCL,2024-12
"BPCL Takes Bold Step with ₹6,100 Crore Refinery Project on Andhra Pradesh’s East Coast",newsip.in,2024-12-24,BPCL,2024-12
