Heading,Source,Date,Symbol
Earnings call transcript: NTPC Q4 FY2025 sees growth in profit and revenue,Investing.com,1 month ago,NTPC
"NTPC shares gain on reporting in-line Q4 show; should you buy, sell, or hold?",Moneycontrol,1 month ago,NTPC
"NTPC Q4 results: Profit rises nearly 22% to Rs 7,897 cr, declares dividend",Business Standard,1 month ago,NTPC
NTPC Shares Rise Nearly 2% As Q4 Profit Rises,NDTV Profit,1 month ago,NTPC
NTPC Green reports 188% rise in profit to Rs 233 crore in Q4FY25,Financial Express,1 month ago,NTPC
"NTPC reports 22% rise in Q4 profit to Rs 7,897 crore; outlines major nuclear and green energy expansion p",Times of India,1 month ago,NTPC
"NTPC Q4 Results: Net profit rises 22.6% sequentially to ₹5,778 crore, misses estimate",CNBC TV18,1 month ago,NTPC
NTPC Green Energy Q4 Results: Net profit grows three-fold to Rs 233 crore,The Economic Times,1 month ago,NTPC
"NTPC Q4 : Profit After Tax rises by 21.67%, declares final dividend of Rs 3.35 per share",PSU Connect,1 month ago,NTPC
"NTPC Q4 Results: Net profit rises 4% to ₹5,778 crore, revenue 3% YoY; Dividend declared",Mint,1 month ago,NTPC
