Heading,Source,Date,Symbol
"Adani Enterprises Q4 Results: Profit Up 8.5x At Rs 3,845 Crore",NDTV Profit,1 May 2025,ADANIENT
"Adani Enterprises Q4 Results: Net profit rises to Rs 3,845 crore, revenue falls 8%",Moneycontrol,1 May 2025,ADANIENT
"Adani Enterprises Q4 net profit up 7-fold at ₹3,845 cr, dividend declared",Business Standard,1 May 2025,ADANIENT
"Why are Adani Group stocks surging? Adani Ports rallies 5%, Adani Enterprises jumps 3% - Market News",Financial Express,2 May 2025,ADANIENT
Adani Group stocks surge up to 14% on reports of Gautam Adani’s representatives meeting Trump officials,The Times of India,5 May 2025,ADANIENT
"Mutual funds cut exposure in Adani Group, offload over 85 lakh shares in April",The Economic Times,16 May 2025,ADANIENT
"Adani Group portfolio companies post record ₹90,000 crore EBITDA and ₹40,565 crore PAT in FY25",Fortune India,1 month ago,ADANIENT
"Adani Group FY25 ebitda up 8.2% at Rs 89,806 cr, infra sectors drive growth",Business Standard,1 month ago,ADANIENT
Adani Group stocks rise up to 11% amid report of Gautam Adani's aides meeting Trump officials,Moneycontrol,5 May 2025,ADANIENT
Adani Ports shares surge 5%; Adani Group officials seek dismissal of charges against Gautam Adani,Financial Express,5 May 2025,ADANIENT
