Heading,Source,Date,Symbol
Bajaj Finserv shares gain 2%; among top gainers on Sensex; here's why,Business Standard,1 month ago,BAJAJFINSV
"Bajaj Finance, Bajaj Finserv plunge over 5% on disappointing Q4 results",The Economic Times,1 May 2025,BAJAJFINSV
"Bajaj Finance Transitions Core Lending System to Pennant’s New-Age, Cloud-Based System; Largest Scalable Transformation in India With 50 Million+ Loans",Banking Frontiers,1 month ago,BAJAJFINSV
IiAS urges ‘no’ vote on Bajaj Finance vice-chairman’s reappointment over pay,Mint,1 month ago,BAJAJFINSV
Bajaj Finance Bonus Issue & Stock Split: A Sweet Deal or a Stock Market Trap?,Equitymaster,1 May 2025,BAJAJFINSV
"Buy, Sell Or Hold: Dr Reddys, L&T, NTPC, Bajaj Finance, Mahanagar Gas— Ask Profit",NDTV Profit,1 month ago,BAJAJFINSV
"Record Date Alert: Oracle Financial, Bajaj Finance, among others go ex-dividend this week",CNBC TV18,5 May 2025,BAJAJFINSV
Bajaj Finance bonus issue and stock split: What it means for shareholders,Moneycontrol,1 May 2025,BAJAJFINSV
"JM Financial maintains Buy on Bajaj Finance, raises target price to Rs 9,500",The Economic Times,5 May 2025,BAJAJFINSV
"Tata Motors, SRF, and Bajaj Finance are top stocks to buy today; here's why",Business Standard,8 May 2025,BAJAJFINSV
