Heading,Source,Date,Symbol
"Britannia sees steady demand recovery, expects revenue and volume growth",Business Standard,12 May 2025,BRITANNIA
Britannia Industries Q4FY25 results: Standalone Net Profit rises 5%,Groww,9 May 2025,BRITANNIA
Britannia Industries Proposes Final Dividend Of Rs 75 Per Share,NDTV Profit,8 May 2025,BRITANNIA
Britannia net profit up 4% in Q4,Financial Express,8 May 2025,BRITANNIA
"Britannia eyes recovery, leans on cost cuts and adjacencies",The Times of India,12 May 2025,BRITANNIA
"I-Sec upgrades Britannia Industries to Add, revises target price to Rs 6,000",The Economic Times,14 May 2025,BRITANNIA
"Britannia Industries shares gain as Q4 profit surprises, up 4% YoY",Moneycontrol,9 May 2025,BRITANNIA
"Q4 results today: Britannia, Bharat Forge, Asian Paints and L&T among 74 companies to declare earnings on May 8",Mint,8 May 2025,BRITANNIA
Britannia Q4 Profit Rises 4.2% to ₹559 Cr; Varun Berry Named CEO,Deccan Herald,9 May 2025,BRITANNIA
"Britannia Q4 results preview: Check what brokerages anticipate, date, time",Business Standard,6 May 2025,BRITANNIA
