Heading,Source,Date,Symbol
"JM Financial maintains Buy on Dr. Reddy's Laboratories, lowers target price to Rs 1418",The Economic Times,14 May 2025,DRREDDY
"Dr Reddys Q4 Results: Date, Dividend News, Earnings Call Schedule And Other Key Details",NDTV Profit,8 May 2025,DRREDDY
Dr Reddy's Q4 results preview: Analysts eye 18% jump in PAT; check details,Business Standard,8 May 2025,DRREDDY
Dr Reddys Laboratories Share Price Falls Nearly 2% Amid High Volume in Today's Trade,Moneycontrol,5 May 2025,DRREDDY
Dr. Reddy’s Q4 & Full Year FY25 Financial Results,Business Wire,9 May 2025,DRREDDY
"Q4 results today: Swiggy, Dr Reddy's, Mannapuram Finance & others to declare earnings on May 9 | Full list here",Mint,9 May 2025,DRREDDY
"Q4 Results Highlights: Dr. Reddy's Laboratories profit rises 22% YoY to ₹1,594 crore, dividend recommended",Upstox,9 May 2025,DRREDDY
Dr Reddy's Laboratories Ltd (RDY) Full Year 2025 Earnings Call Highlights: Record Revenue and ...,Yahoo Finance,12 May 2025,DRREDDY
"Q4 Results Highlights May 9, 2025: Dr Reddy’s profit up 21%, Union Bank surges 50%, Britannia edges higher, Swiggy posts ₹1,081 cr loss",BusinessLine,9 May 2025,DRREDDY
"Yes Bank, Dr. Reddy's Laboratories, Swiggy, Manappuram Finance and more: Stocks To Watch for May 12",CNBC TV18,11 May 2025,DRREDDY
