Heading,Source,Date,Symbol
"IndusInd Bank crisis: ICAI to review financial statements of fraud-hit private lender for FY24, FY25",Mint,1 month ago,INDUSINDBK
"Shadowed by financial discrepancies: IndusInd Bank posts largest-ever quarterly loss at Rs 2,328.92 crore",Financial Express,1 month ago,INDUSINDBK
IndusInd Bank's financials may stay weak; new CEO faces challenges,Business Standard,1 month ago,INDUSINDBK
"Stocks to Watch Today, 9th May 2025: Defence Stocks, IndusInd Bank, Bajaj Finance, CEAT, and more",Groww,9 May 2025,INDUSINDBK
"IndusInd Bank shares take U-turn, trade higher despite sharp Q4 loss; should you buy, sell, or hold?",Moneycontrol,1 month ago,INDUSINDBK
IndusInd Bank Fallout: Senior Bharat Financial Inclusion Executive Quits — Profit Exclusive,NDTV Profit,1 month ago,INDUSINDBK
Sebi probing IndusInd Bank's senior management for 'egregious violations',Times of India,1 month ago,INDUSINDBK
IndusInd Bank shares in focus amid NFRA complaint over audit discrepancies,The Economic Times,1 month ago,INDUSINDBK
IndusInd Bank faces scrutiny from BSE as report over internal audit sparks concerns about accounting practices,Fortune India,15 May 2025,INDUSINDBK
"IndusInd Bank shares downgraded, earnings estimates cut after more accounting flaws emerge",CNBC TV18,16 May 2025,INDUSINDBK
