Heading,Source,Date,Symbol
"JSW Steel To Consider Fundraise Via QIP, NCD Issue On May 23",NDTV Profit,16 May 2025,JSWSTEEL
Big relief for JSW Steel: Supreme Court orders status quo on liquidation of Bhushan Power,Financial Express,1 month ago,JSWSTEEL
"JSW Steel Q4 PAT rises 16% YoY to Rs 1,503 cr",Business Standard,1 month ago,JSWSTEEL
"Q4 results today: JSW Steel, Ashok Leyland, Glenmark & others to declare earnings on May 23 — Full list here",Mint,1 month ago,JSWSTEEL
JSW moves Supreme Court to halt Bhushan Power and Steel Ltd liquidation,The Economic Times,1 month ago,JSWSTEEL
Setback for JSW Steel as SC directs liquidation of Bhushan Power and Steel,Moneycontrol,2 May 2025,JSWSTEEL
"JSW Steel Q4 Results: Profit Doubles But Misses Estimates, Margin Improves",NDTV Profit,1 month ago,JSWSTEEL
"JSW Steel Q4 Results: Profit rises by 13.54%, revenue slips 3.13% on low steel prices, imports",Financial Express,1 month ago,JSWSTEEL
JSW Steel gains on buzz of SC relief on BPSL resolution,Business Standard,1 month ago,JSWSTEEL
"SC scraps JSW Steel’s ‘illegal’ Bhushan Power and Steel deal, orders liquidation",The Economic Times,2 May 2025,JSWSTEEL
