Heading,Source,Date,Symbol
"Mahindra Finance to Raise ₹2,996 Crore Via Rights Issue",Groww,12 May 2025,M&M
M&M Results Q4 FY25 and FY25,Mahindra,5 May 2025,M&M
Mahindra & Mahindra Financial Services Shows Signs of Reversal Amid Broader Market Gains,MarketsMojo,12 May 2025,M&M
"M-M Finance to raise ₹3,000 crore through simplified rights issue process",Business Standard,2 May 2025,M&M
Mahindra Finance board approves raising Rs 3000 crore by rights issue,Financial Express,2 May 2025,M&M
"M&M Financial Services launches ₹2,996 crore rights issue at ₹194 per share",CNBC TV18,8 May 2025,M&M
"Mahindra Finance Sets Issue Price For Rs 3,000-Crore Rights Issue",NDTV Profit,8 May 2025,M&M
"M&M Financial board re-approves ₹3,000 crore rights issue plan, no fresh equity offer proposed",Upstox,2 May 2025,M&M
Mahindra and Mahindra Shares Fall 0.6% in Today's Session,Moneycontrol,15 May 2025,M&M
"M&M Financial board reaffirms Rs 3,000 crore rights issue plan. No fresh equity offer proposed",The Economic Times,2 May 2025,M&M
