Heading,Source,Date,Symbol
"Maruti Suzuki India Ltd spurts 0.22%, up for five straight sessions",Business Standard,7 May 2025,MARUTI
Maruti Suzuki India shares trade lower amid high volume,Moneycontrol,1 month ago,MARUTI
Maruti Suzuki looks to India’s ‘next billion’ car buyers,Financial Times,1 month ago,MARUTI
Maruti Suzuki partners SMFG India Credit for vehicle financing,Financial Express,1 month ago,MARUTI
"Maruti Suzuki’s passenger vehicle market share slips below 40% in April, Mahindra climbs to second spot",The Times of India,5 May 2025,MARUTI
"Stocks to buy today: Tata Steel, Maruti among top 6 trading ideas for 7 May 2025",The Economic Times,7 May 2025,MARUTI
Maruti Suzuki and SMFG India Credit Join Hands for Commercial Vehicle Financing,Energetica India Magazine,1 month ago,MARUTI
Maruti Suzuki India shares rise 1% in today's trading session,Moneycontrol,1 month ago,MARUTI
"Maruti Suzuki reports 7% increase in total sales in April at 179,791 units",Business Standard,1 May 2025,MARUTI
Maruti Suzuki India shares fall more than 1.3% today amid high trading volume,Moneycontrol,1 month ago,MARUTI
