Heading,Source,Date,Symbol
TATA Consumer Products shares climb 1.40% in today's session,Moneycontrol,16 May 2025,TATACONSUM
Tata Consumer Products Dividend: Last Day To Buy Shares To Qualify — Details Here,NDTV Profit,1 month ago,TATACONSUM
"Tata Consumer to accelerate beverage, food business expansion - Industry News",Financial Express,12 May 2025,TATACONSUM
Tata Group Stock To Pay Rs 8.25 Dividend By June: Record Date In May; Is This The Right Time To Buy?,Goodreturns,1 month ago,TATACONSUM
Tata Consumer acquisitions report double-digit revenue growth in FY'25,ET BrandEquity,1 month ago,TATACONSUM
India a bright spot for growth amid global volatility: N Chandrasekaran,Business Standard,1 month ago,TATACONSUM
"ITC, L&T Finance, Trident, Tata Consumer Products, Bajaj Finance, Infosys and others to trade ex-dividend this week; check full list of corporate actions",Upstox,1 month ago,TATACONSUM
Tata Consumer Share Price Highlights: Tata Consumer Stock Price History,The Economic Times,1 month ago,TATACONSUM
TATA Consumer Products stock falls by 2.04% in today's trading session,Moneycontrol,1 month ago,TATACONSUM
TATA Consumer Products shares decline slightly in today's session,Moneycontrol,1 month ago,TATACONSUM
