Heading,Source,Date,Symbol
Tech Mahindra Announces Senior Leadership Elevations to Drive Strategic Market Growth,Mahindra,14 May 2025,TECHM
Tech Mahindra Shares Rise by 1.68% in Today's Session; Sentiment Bullish,Moneycontrol,14 May 2025,TECHM
Tech Mahindra to acquire 100% stake in Mahindra Racing UK for GBP 1.2 million,The Economic Times,2 May 2025,TECHM
"Nifty IT falls over 1%: Tech Mahindra, Wipro, Persistent among other tech stocks slide amid US bond sell-off",Financial Express,1 month ago,TECHM
Tech Mahindra To Acquire Mahindra Racing UK For GBP 1.2 Million,NDTV Profit,2 May 2025,TECHM
Tech Mahindra taps US-based exec Santosh Jha to lead GCC push amid industry-wide shift | Company Business News,Mint,1 month ago,TECHM
Tech Mahindra Q2 preview: PAT likely to climb 16% QoQ; margins may increase by 60 bps,Zee Business,16 May 2025,TECHM
Tech Mahindra Shares Climb 1.59% in Today's Trading Session,Moneycontrol,1 month ago,TECHM
M&M Results Q4 FY25 and FY25,Mahindra,5 May 2025,TECHM
Tech Mahindra Share Price Highlights: Tech Mahindra Stock Price History,The Economic Times,1 month ago,TECHM
