"Data Source","World Development Indicators",

"Last Updated Date","2025-06-05",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.05535238281762","8.14749298300556","8.17024662429211","8.02763653109075","7.70638466764546","7.53171874723579","7.42928330944324","7.41195786315368","7.41081133260295","7.35936877188849","7.24169786571629","7.13246270973074","7.0148142726029","6.82151660424309","6.6527884567585","6.55225550002061","6.50193780025584","6.48034335872276","6.57852623065408","6.78917577809595","6.73953836566223","6.56689187600029","6.43303479152618","6.4238994029188","6.49457719488346","6.6556312973769","6.80653448055255","6.84233122537909","7.07179023483707","7.62274690902759","7.88711605111168","7.26283525761663","7.09295350399716","7.0981998621005",
"Afghanistan","AFG","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.554","7.498","7.382","7.322","7.322","7.375","7.377","7.409","7.427","7.463","7.484","7.463","7.414","7.432","7.416","7.441","7.341","7.393","7.264","7.255","7.276","7.338","7.384","7.342","8.401","9.399","10.363","10.198","10.031","10.456","10.911","13.168","13.066","12.394",
"Africa Western and Central","AFW","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.34290859035783","4.36609405816047","4.4832620716786","4.49357406960119","4.48455877825568","4.41249470793896","4.37062696104325","4.36822738359137","4.53544979072316","4.58979769290894","4.50931502873675","4.29925701996137","4.17808336213029","4.08166886585006","4.07198510545352","3.93334215570896","3.89398845971403","3.89865091391397","3.91616310009701","3.8911938122975","3.87709992544786","3.9292782699864","3.70664118292923","3.91880494931159","4.22270787451404","4.21273549447645","4.33828811672165","4.3621482636388","4.38906333776163","4.60692974501314","4.08994992260342","2.8299125180935","2.68229031345861","2.63651232864017",
"Angola","AGO","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.83","14.94","15.319","15.316","14.941","14.298","14.206","14.385","14.585","14.664","14.678","14.486","14.494","14.387","14.371","14.232","14.186","14.255","14.44","14.61","14.768","14.816","14.988","15.145","15.464","15.788","16.068","16.298","16.447","16.764","15.817","14.472","14.405","14.35",
"Albania","ALB","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.328","32.116","26.877","22.233","14.967","14.658","17.705","20.238","21.159","19.38","18.295","17.61","16.684","16.013","15.629","15.284","15.639","12.533","12.171","12.737","13.263","14.835","17.704","19.898","17.248","16.162","14.466","12.635","11.587","11.724","11.307","9.917","9.888","10.023",
"Andorra","AND","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.6585581467617","11.2620100800055","11.8141552700469","11.7583951847516","12.210318535647","11.367300799775","10.740778332422","10.7081173440589","10.9094901998443","11.1308613682697","11.0001806015175","10.9230758987262","10.8924007040603","9.54157314781177","9.40187903020758","8.6320222364929","8.4156915826686","8.09948013089934","7.21910082510615","7.21290806811586","8.35708178337267","8.72664338115957","8.69110710364408","8.67347084944448","8.73165546951854","8.40301587354769","8.70175441681592","8.44763587466974","7.96528672477977","9.31979200903514","9.05668922925995","8.03231967152847","7.79722625160761","7.69836140185743",
"United Arab Emirates","ARE","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.554","1.644","1.842","1.77","1.732","1.764","1.833","2.001","2.132","2.184","2.273","2.382","2.517","2.467","2.513","2.36","2.321","2.195","2.289","2.148","1.935","1.679","1.492","1.377","1.19","1.052","1.282","1.293","1.396","3.837","2.188","1.526","1.508","1.433",
"Argentina","ARG","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.244","6.129","8.438","10.266","16.451","15.647","12.803","11.65","13.258","14.029","17.411","20.122","13.806","11.893","10.053","8.422","7.062","6.52","7.788","6.685","6.267","6.101","6.137","6.494","6.798","7.288","7.544","8.246","9.202","10.778","7.915","6.145","5.641","7.452",
