Symbol,PriceSignal,FundSignal,FinalSignal
ADANIENT,HOLD,HOLD,HOLD
ADANIPORTS,BUY,HOLD,HOLD
APOLLOHOSP,BUY,HOLD,HOLD
ASIANPAINT,BUY,HOLD,HOLD
AXISBANK,BUY,HOLD,HOLD
BAJAJ-AUTO,BUY,HOLD,HOLD
BAJAJFINSV,BUY,HOLD,HOLD
BAJFINANCE,BUY,HOLD,HOLD
BHARTIARTL,BUY,HOLD,HOLD
BPCL,BUY,HOLD,HOLD
BRITANNIA,BUY,HOLD,HOLD
CIPLA,BUY,HOLD,HOLD
COALINDIA,HOLD,HOLD,HOLD
DIVISLAB,BUY,HOLD,HOLD
DRREDDY,BUY,HOLD,HOLD
EICHERMOT,BUY,HOLD,HOLD
GRASIM,BUY,HOLD,HOLD
HCLTECH,HOLD,HOLD,HOLD
HDFCBANK,BUY,HOLD,HOLD
HDFCLIFE,BUY,HOLD,HOLD
HEROMOTOCO,BUY,HOLD,HOLD
HINDALCO,HOLD,HOLD,HOLD
HINDUNILVR,HOLD,HOLD,HOLD
ICICIBANK,SELL,HOLD,SELL
INDUSINDBK,SELL,HOLD,SELL
INFY,HOLD,HOLD,HOLD
ITC,HOLD,HOLD,HOLD
JSWSTEEL,HOLD,HOLD,HOLD
KOTAKBANK,BUY,HOLD,HOLD
LTIM,HOLD,HOLD,HOLD
LT,HOLD,HOLD,HOLD
M&M,BUY,HOLD,HOLD
MARUTI,BUY,HOLD,HOLD
NESTLEIND,HOLD,HOLD,HOLD
NTPC,HOLD,HOLD,HOLD
ONGC,BUY,HOLD,HOLD
POWERGRID,BUY,HOLD,HOLD
RELIANCE,BUY,HOLD,HOLD
SBILIFE,BUY,HOLD,HOLD
SBIN,BUY,HOLD,HOLD
SHRIRAMFIN,BUY,HOLD,HOLD
SUNPHARMA,BUY,HOLD,HOLD
TATACONSUM,HOLD,HOLD,HOLD
TATAMOTORS,BUY,HOLD,HOLD
TATASTEEL,BUY,HOLD,HOLD
TCS,HOLD,HOLD,HOLD
TECHM,BUY,HOLD,HOLD
TITAN,BUY,HOLD,HOLD
ULTRACEMCO,HOLD,HOLD,HOLD
WIPRO,HOLD,HOLD,HOLD
