,group
Start,2024-03-01 00:00:00+05:30
End,2025-05-30 00:00:00+05:30
Period,306 days 00:00:00
Start Value,73500000.0
End Value,74502326.66467862
Total Return [%],1.3637097478620714
Benchmark Return [%],0.42300223961051486
Max Gross Exposure [%],46.33202399558843
Total Fees Paid,0.0
Max Drawdown [%],0.2867400605034644
Max Drawdown Duration,51 days 00:00:00
Total Trades,335
Total Closed Trades,0
Total Open Trades,335
Open Trade PnL,127670.27447074729
Win Rate [%],
Best Trade [%],
Worst Trade [%],
Avg Winning Trade [%],
Avg Losing Trade [%],
Avg Winning Trade Duration,
Avg Losing Trade Duration,
Profit Factor,
Expectancy,
Sharpe Ratio,2.6589632435351067
Calmar Ratio,5.680329352659885
Omega Ratio,1.5255394692387085
Sortino Ratio,4.046905470668181
